"File Name"	"Sample ID"	"Batch"
"VT_230926_M561_230"	"S21000_Plasma_2"	1
"VT_230926_M561_232"	"S21000_Plasma_4"	1
"VT_230926_M561_234"	"S21000_Plasma_6"	1
"VT_230926_M561_236"	"S21002_Plasma_2"	1
"VT_230926_M561_238"	"S21002_Plasma_4"	1
"VT_230926_M561_240"	"S21002_Plasma_6"	1
"VT_230926_M561_242"	"S21004_Plasma_2"	1
"VT_230926_M561_244"	"S21004_Plasma_4"	1
"VT_230926_M561_246"	"S21004_Plasma_6"	1
"VT_230926_M561_248"	"S21053_Plasma_2"	1
"VT_230926_M561_250"	"S21053_Plasma_4"	1
"VT_230926_M561_252"	"S21053_Plasma_6"	1
"VT_230926_M561_254"	"S21066_Plasma_2"	1
"VT_230926_M561_256"	"S21066_Plasma_4"	1
"VT_230926_M561_258"	"S21066_Plasma_6"	1
"VT_230926_M561_260"	"S21105_Plasma_2"	1
"VT_230926_M561_262"	"S21105_Plasma_4"	1
"VT_230926_M561_264"	"S21105_Plasma_6"	1
"VT_230926_M561_266"	"S21150_Plasma_2"	1
"VT_230926_M561_268"	"S21150_Plasma_4"	1
"VT_230926_M561_270"	"S21150_Plasma_6"	1
"VT_230926_M561_272"	"S21163_Plasma_2"	1
"VT_230926_M561_274"	"S21163_Plasma_4"	1
"VT_230926_M561_276"	"S21163_Plasma_6"	1
"VT_230926_M561_278"	"S21177_Plasma_2"	1
"VT_230926_M561_280"	"S21177_Plasma_4"	1
"VT_230926_M561_282"	"S21177_Plasma_6"	1
"VT_230926_M561_284"	"S21210_Plasma_2"	1
"VT_230926_M561_286"	"S21210_Plasma_4"	1
"VT_230926_M561_288"	"S21210_Plasma_6"	1
"VT_230926_M561_290"	"S21221_Plasma_2"	1
"VT_230926_M561_292"	"S21221_Plasma_4"	1
"VT_230926_M561_294"	"S21221_Plasma_6"	1
"VT_230926_M561_296"	"S21240_Plasma_2"	1
"VT_230926_M561_298"	"S21240_Plasma_4"	1
"VT_230926_M561_300"	"S21240_Plasma_6"	1
"VT_230926_M561_302"	"S21246_Plasma_2"	1
"VT_230926_M561_304"	"S21246_Plasma_4"	1
"VT_230926_M561_306"	"S21246_Plasma_6"	1
"VT_230926_M561_308"	"S21262_Plasma_2"	1
"VT_230926_M561_310"	"S21262_Plasma_4"	1
"VT_230926_M561_312"	"S21262_Plasma_6"	1
"VT_230926_M561_314"	"S21276_Plasma_2"	1
"VT_230926_M561_316"	"S21276_Plasma_4"	1
"VT_230926_M561_318"	"S21276_Plasma_6"	1
"VT_230926_M561_320"	"q3June2014_1e_2"	1
"VT_230926_M561_322"	"q3June2014_1e_4"	1
"VT_230926_M561_324"	"q3June2014_1e_6"	1
"VT_230926_M561_326"	"q3June2014_1f_2"	1
"VT_230926_M561_328"	"q3June2014_1f_4"	1
"VT_230926_M561_330"	"q3June2014_1f_6"	1
"VT_230926_M561_332"	"nist2_2"	1
"VT_230926_M561_334"	"nist2_4"	1
"VT_230926_M561_336"	"nist2_6"	1
