"chemical_ID","Annotation.confidence.score","Annotation.raw.score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","mean_int_vec"
"HMDB13840",3,4472392638.03681,"67_2_1","204.08585",27.6,"Multiple",NA,NA,"3-Hydroxymethylantipyrine","C11H12N2O2","-","M-H_[-1]",895685.035714286
"HMDB13840",3,4472392638.03681,"67_2_1","203.08267",27.8,"Multiple",203.0826,0.34,"3-Hydroxymethylantipyrine","C11H12N2O2","204.089877638","M-H",8238678.2
"HMDB14118",3,2.5e+08,"67_1_2","114.98988",34.7,"Unique",NA,NA,"Trifluoroacetic acid","C2HF3O2","-","M-H_[+2]",22942426.0357143
"HMDB14118",3,2.5e+08,"67_1_2","113.98896",34.2,"Unique",NA,NA,"Trifluoroacetic acid","C2HF3O2","-","M-H_[-1]",59760438.4285714
"HMDB14118",3,2.5e+08,"67_1_2","112.98565",33.9,"Unique",112.98559,0.53,"Trifluoroacetic acid","C2HF3O2","113.992863891","M-H",2721991005.1
"HMDB14352",3,17730000,"69_3_28","751.51129",260.1,"Multiple",NA,NA,"Azithromycin","C38H72N2O12","-","M-H_[+4]",105633.339285714
"HMDB14352",3,17730000,"69_3_28","747.50306",262.1,"Multiple",747.50125,2.42,"Azithromycin","C38H72N2O12","748.508525778","M-H",607351.6
"HMDB14420",3,264600000,"81_4_1","446.20225",177.4,"Unique",NA,NA,"Olmesartan","C24H26N6O3","-","M-H_[-1]",759818.6875
"HMDB14420",3,264600000,"81_4_1","445.19981",177.4,"Unique",445.19936,1.01,"Olmesartan","C24H26N6O3","446.206638728","M-H",3816680.2
"HMDB14575",3,254571428.571429,"196_1_3","288.85088",51.9,"Multiple",NA,NA,"Lindane","C6H6Cl6","-","M-H_[+2]",618855.580357143
"HMDB14575",3,254571428.571429,"196_1_3","286.85339",51.4,"Multiple",286.85279,2.09,"Lindane","C6H6Cl6","287.860066434","M-H",1419218.5
"HMDB14581",3,166258389.261745,"3_6_1","137.03412",22.4,"Multiple",NA,NA,"Allopurinol","C5H4N4O","-","M-H_[+2]",4488423.89285714
"HMDB14581",3,166258389.261745,"3_6_1","136.02822",27.3,"Multiple",NA,NA,"Allopurinol","C5H4N4O","-","M-H_[-1]",6981313.27678571
"HMDB14581",3,166258389.261745,"3_6_1","136.03451",25.9,"Multiple",NA,NA,"Allopurinol","C5H4N4O","-","M-H_[-1]",38288145.3214286
"HMDB14581",3,166258389.261745,"3_6_1","136.04038",27.2,"Multiple",NA,NA,"Allopurinol","C5H4N4O","-","M-H_[-1]",3285208.41071429
"HMDB14581",3,166258389.261745,"3_6_1","135.03060",23.3,"Multiple",135.03123,4.67,"Allopurinol","C5H4N4O","136.03851077","M-H",942520576.7
"HMDB14585",3,1313513513.51351,"3_6_1","281.09892",24.5,"Multiple",NA,NA,"Entecavir","C12H15N5O3","-","M-H_[+5]",5389137.67857143
"HMDB14585",3,1313513513.51351,"3_6_1","276.88347",23.4,"Multiple",NA,NA,"Entecavir","C12H15N5O3","-","M-H_[-1]",9095377.49107143
"HMDB14585",3,1313513513.51351,"3_6_1","276.97066",27.1,"Multiple",NA,NA,"Entecavir","C12H15N5O3","-","M-H_[-1]",6076188.75
"HMDB14585",3,1313513513.51351,"3_6_1","277.11200",28.1,"Multiple",NA,NA,"Entecavir","C12H15N5O3","-","M-H_[-1]",9860208.71428571
"HMDB14585",3,1313513513.51351,"3_6_1","276.11115",28.2,"Multiple",276.11021,3.4,"Entecavir","C12H15N5O3","277.117489371","M-H",17186637.7
"HMDB14607",3,262135922.330097,"7_2_16","294.18235",159,"Unique",NA,NA,"Sodium Tetradecyl Sulfate","C14H30O4S","-","M-H_[-1]",569354.3125
