"chemical_ID","Annotation.confidence.score","Annotation.raw.score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","mean_int_vec"
"HMDB57905",0,0,"0_2402_1","741.52562",27.5,"Multiple",741.52469,1.25,"CL(18:1(11Z)18:018:1(9Z)20:4(5Z8Z11Z14Z))","C83H150O17P2","1481.034826398","M+2H",3243372.6
"HMDB57908",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:018:1(9Z)22:6(4Z7Z10Z13Z16Z19Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB57909",0,0,"0_159_1","737.54338",26.2,"Multiple",737.54034,4.12,"CL(18:1(11Z)18:018:2(9Z12Z)18:0)","C82H154O17P2","1473.066126526","M+2H",159684.9
"HMDB57914",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:020:4(5Z8Z11Z14Z)18:1(11Z))","C83H150O17P2","1481.034826398","M+ACN+2H",82355.2
"HMDB57914",0,0,"0_2402_1","741.52562",27.5,"Multiple",741.52469,1.25,"CL(18:1(11Z)18:020:4(5Z8Z11Z14Z)18:1(11Z))","C83H150O17P2","1481.034826398","M+2H",3243372.6
"HMDB57915",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:020:4(5Z8Z11Z14Z)18:1(9Z))","C83H150O17P2","1481.034826398","M+ACN+2H",82355.2
"HMDB57915",0,0,"0_2402_1","741.52562",27.5,"Multiple",741.52469,1.25,"CL(18:1(11Z)18:020:4(5Z8Z11Z14Z)18:1(9Z))","C83H150O17P2","1481.034826398","M+2H",3243372.6
"HMDB57917",0,0,"0_392_1","755.54212",30.6,"Multiple",755.54034,2.36,"CL(18:1(11Z)18:022:5(4Z7Z10Z13Z16Z)18:0)","C85H154O17P2","1509.066126526","M+2H",1130083.2
"HMDB57922",0,0,"0_392_1","755.54212",30.6,"Multiple",755.54034,2.36,"CL(18:1(11Z)18:022:5(7Z10Z13Z16Z19Z)18:0)","C85H154O17P2","1509.066126526","M+2H",1130083.2
"HMDB57928",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:022:6(4Z7Z10Z13Z16Z19Z)18:1(11Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB57929",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:022:6(4Z7Z10Z13Z16Z19Z)18:1(9Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB57931",0,0,"0_2340_1","710.00783",61.9,"Multiple",710.00666,1.65,"CL(18:1(11Z)16:1(9Z)18:1(11Z)16:1(9Z))","C77H142O17P2","1400.972226142","M+H+NH4",638639.5
"HMDB57941",0,0,"0_2340_1","710.00783",61.9,"Multiple",710.00666,1.65,"CL(18:1(11Z)16:1(9Z)18:1(9Z)16:1(9Z))","C77H142O17P2","1400.972226142","M+H+NH4",638639.5
"HMDB57967",0,0,"134_4_1","724.48651",55.4,"Multiple",724.48556,1.31,"CL(18:1(11Z)16:1(9Z)22:6(4Z7Z10Z13Z16Z19Z)16:1(9Z))","C81H140O17P2","1446.956576078","M+2H",5485202.5
"HMDB57973",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(11Z)18:1(11Z)22:5(4Z7Z10Z13Z16Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB57974",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(11Z)18:1(11Z)22:5(7Z10Z13Z16Z19Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB57977",0,0,"59_1_1","730.53389",31,"Multiple",730.53251,1.89,"CL(18:1(11Z)18:1(11Z)18:1(9Z)18:0)","C81H152O17P2","1459.050476462","M+2H",2161367.3
"HMDB57983",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(11Z)18:1(9Z)22:5(4Z7Z10Z13Z16Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB57984",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(11Z)18:1(9Z)22:5(7Z10Z13Z16Z19Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB57991",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(11Z)18:2(9Z12Z)18:2(9Z12Z))","C83H150O17P2","1481.034826398","M+ACN+2H",82355.2
"HMDB57991",0,0,"0_2402_1","741.52562",27.5,"Multiple",741.52469,1.25,"CL(18:1(11Z)18:1(11Z)18:2(9Z12Z)18:2(9Z12Z))","C83H150O17P2","1481.034826398","M+2H",3243372.6
"HMDB57995",0,0,"0_160_1","758.51313",55.1,"Multiple",758.51686,4.92,"CL(18:1(11Z)18:1(11Z)18:2(9Z12Z)22:6(4Z7Z10Z13Z16Z19Z))","C86H148O17P2","1515.019176334","M+2H",831251.3
"HMDB57995",0,0,"0_2452_1","799.54356",42.4,"Multiple",799.54341,0.19,"CL(18:1(11Z)18:1(11Z)18:2(9Z12Z)22:6(4Z7Z10Z13Z16Z19Z))","C86H148O17P2","1515.019176334","M+2ACN+2H",1422186.2
"HMDB57997",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(11Z)20:4(5Z8Z11Z14Z)18:0)","C83H150O17P2","1481.034826398","M+ACN+2H",82355.2
"HMDB57997",0,0,"0_2402_1","741.52562",27.5,"Multiple",741.52469,1.25,"CL(18:1(11Z)18:1(11Z)20:4(5Z8Z11Z14Z)18:0)","C83H150O17P2","1481.034826398","M+2H",3243372.6
"HMDB58009",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(11Z)22:5(4Z7Z10Z13Z16Z)18:1(11Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB58010",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(11Z)22:5(4Z7Z10Z13Z16Z)18:1(9Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB58019",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(11Z)22:5(7Z10Z13Z16Z19Z)18:1(11Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB58020",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(11Z)22:5(7Z10Z13Z16Z19Z)18:1(9Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB58027",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(11Z)22:6(4Z7Z10Z13Z16Z19Z)18:0)","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB58031",0,0,"0_160_1","758.51313",55.1,"Multiple",758.51686,4.92,"CL(18:1(11Z)18:1(11Z)22:6(4Z7Z10Z13Z16Z19Z)18:2(9Z12Z))","C86H148O17P2","1515.019176334","M+2H",831251.3
"HMDB58031",0,0,"0_2452_1","799.54356",42.4,"Multiple",799.54341,0.19,"CL(18:1(11Z)18:1(11Z)22:6(4Z7Z10Z13Z16Z19Z)18:2(9Z12Z))","C86H148O17P2","1515.019176334","M+2ACN+2H",1422186.2
"HMDB58039",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(9Z)18:1(11Z)22:5(4Z7Z10Z13Z16Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB58040",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(9Z)18:1(11Z)22:5(7Z10Z13Z16Z19Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB58043",0,0,"59_1_1","730.53389",31,"Multiple",730.53251,1.89,"CL(18:1(11Z)18:1(9Z)18:1(9Z)18:0)","C81H152O17P2","1459.050476462","M+2H",2161367.3
"HMDB58049",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(9Z)18:1(9Z)22:5(4Z7Z10Z13Z16Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB58050",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(9Z)18:1(9Z)22:5(7Z10Z13Z16Z19Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB58057",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(9Z)18:2(9Z12Z)18:2(9Z12Z))","C83H150O17P2","1481.034826398","M+ACN+2H",82355.2
"HMDB58057",0,0,"0_2402_1","741.52562",27.5,"Multiple",741.52469,1.25,"CL(18:1(11Z)18:1(9Z)18:2(9Z12Z)18:2(9Z12Z))","C83H150O17P2","1481.034826398","M+2H",3243372.6
"HMDB58061",0,0,"0_160_1","758.51313",55.1,"Multiple",758.51686,4.92,"CL(18:1(11Z)18:1(9Z)18:2(9Z12Z)22:6(4Z7Z10Z13Z16Z19Z))","C86H148O17P2","1515.019176334","M+2H",831251.3
"HMDB58061",0,0,"0_2452_1","799.54356",42.4,"Multiple",799.54341,0.19,"CL(18:1(11Z)18:1(9Z)18:2(9Z12Z)22:6(4Z7Z10Z13Z16Z19Z))","C86H148O17P2","1515.019176334","M+2ACN+2H",1422186.2
"HMDB58063",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(9Z)20:4(5Z8Z11Z14Z)18:0)","C83H150O17P2","1481.034826398","M+ACN+2H",82355.2
"HMDB58063",0,0,"0_2402_1","741.52562",27.5,"Multiple",741.52469,1.25,"CL(18:1(11Z)18:1(9Z)20:4(5Z8Z11Z14Z)18:0)","C83H150O17P2","1481.034826398","M+2H",3243372.6
"HMDB58075",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(9Z)22:5(4Z7Z10Z13Z16Z)18:1(11Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB58076",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(9Z)22:5(4Z7Z10Z13Z16Z)18:1(9Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
