"File Name"	"Sample ID"	"Batch"
"VT_230927_M561_209"	"S2859_Placenta_5"	1
"VT_230927_M561_211"	"S2927_Placenta_1"	1
"VT_230927_M561_213"	"S2927_Placenta_3"	1
"VT_230927_M561_215"	"S2927_Placenta_5"	1
"VT_230927_M561_217"	"S2932_Placenta_1"	1
"VT_230927_M561_219"	"S2932_Placenta_3"	1
"VT_230927_M561_221"	"S2932_Placenta_5"	1
"VT_230927_M561_223"	"S2987_Placenta_1"	1
"VT_230927_M561_225"	"S2987_Placenta_3"	1
"VT_230927_M561_227"	"S2987_Placenta_5"	1
"VT_230927_M561_229"	"S21000_Placenta_1"	1
"VT_230927_M561_231"	"S21000_Placenta_3"	1
"VT_230927_M561_233"	"S21000_Placenta_5"	1
"VT_230927_M561_235"	"S21002_Placenta_1"	1
"VT_230927_M561_237"	"S21002_Placenta_3"	1
"VT_230927_M561_239"	"S21002_Placenta_5"	1
"VT_230927_M561_241"	"S21004_Placenta_1"	1
"VT_230927_M561_243"	"S21004_Placenta_3"	1
"VT_230927_M561_245"	"S21004_Placenta_5"	1
"VT_230927_M561_247"	"S21053_Placenta_1"	1
"VT_230927_M561_249"	"S21053_Placenta_3"	1
"VT_230927_M561_251"	"S21053_Placenta_5"	1
"VT_230927_M561_253"	"S21066_Placenta_1"	1
"VT_230927_M561_255"	"S21066_Placenta_3"	1
"VT_230927_M561_257"	"S21066_Placenta_5"	1
"VT_230927_M561_259"	"S21105_Placenta_1"	1
"VT_230927_M561_261"	"S21105_Placenta_3"	1
"VT_230927_M561_263"	"S21105_Placenta_5"	1
"VT_230927_M561_265"	"S21150_Placenta_1"	1
"VT_230927_M561_267"	"S21150_Placenta_3"	1
"VT_230927_M561_269"	"S21150_Placenta_5"	1
"VT_230927_M561_271"	"S21163_Placenta_1"	1
"VT_230927_M561_273"	"S21163_Placenta_3"	1
"VT_230927_M561_275"	"S21163_Placenta_5"	1
"VT_230927_M561_277"	"S21177_Placenta_1"	1
"VT_230927_M561_279"	"S21177_Placenta_3"	1
"VT_230927_M561_281"	"S21177_Placenta_5"	1
"VT_230927_M561_283"	"S21210_Placenta_1"	1
"VT_230927_M561_285"	"S21210_Placenta_3"	1
"VT_230927_M561_287"	"S21210_Placenta_5"	1
"VT_230927_M561_289"	"S21221_Placenta_1"	1
"VT_230927_M561_291"	"S21221_Placenta_3"	1
"VT_230927_M561_293"	"S21221_Placenta_5"	1
"VT_230927_M561_295"	"S21240_Placenta_1"	1
"VT_230927_M561_297"	"S21240_Placenta_3"	1
"VT_230927_M561_299"	"S21240_Placenta_5"	1
"VT_230927_M561_301"	"S21246_Placenta_1"	1
"VT_230927_M561_303"	"S21246_Placenta_3"	1
"VT_230927_M561_305"	"S21246_Placenta_5"	1
"VT_230927_M561_307"	"S21262_Placenta_1"	1
"VT_230927_M561_309"	"S21262_Placenta_3"	1
"VT_230927_M561_311"	"S21262_Placenta_5"	1
"VT_230927_M561_313"	"S21276_Placenta_1"	1
"VT_230927_M561_315"	"S21276_Placenta_3"	1
"VT_230927_M561_317"	"S21276_Placenta_5"	1
"VT_230927_M561_319"	"q3June2014_1e_1"	1
"VT_230927_M561_321"	"q3June2014_1e_3"	1
"VT_230927_M561_323"	"q3June2014_1e_5"	1
"VT_230927_M561_325"	"q3June2014_1f_1"	1
"VT_230927_M561_327"	"q3June2014_1f_3"	1
"VT_230927_M561_329"	"q3June2014_1f_5"	1
"VT_230927_M561_331"	"nist2_1"	1
"VT_230927_M561_333"	"nist2_3"	1
"VT_230927_M561_335"	"nist2_5"	1
