"chemical_ID","Annotation.confidence.score","Annotation.raw.score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","mean_int_vec"
"HMDB08626",0,0,"177_1_13","844.56136",193.1,"Multiple",844.56286,1.78,"PC(22:4(7Z10Z13Z16Z)16:0)","C46H84NO8P","809.593455181","M+Cl",215810.1
"HMDB08629",0,0,"177_1_13","870.58122",188.1,"Multiple",870.57851,3.11,"PC(22:4(7Z10Z13Z16Z)18:1(11Z))","C48H86NO8P","835.609105245","M+Cl",233592.2
"HMDB08630",0,0,"177_1_13","870.58122",188.1,"Multiple",870.57851,3.11,"PC(22:4(7Z10Z13Z16Z)18:1(9Z))","C48H86NO8P","835.609105245","M+Cl",233592.2
"HMDB08642",0,0,"91_12_27","890.54286",198.8,"Multiple",890.54721,4.88,"PC(22:4(7Z10Z13Z16Z)20:5(5Z8Z11Z14Z17Z))","C50H82NO8P","855.577805117","M+Cl",381447
"HMDB08646",0,0,"0_3235_1","866.60371",210.5,"Multiple",866.60637,3.07,"PC(22:4(7Z10Z13Z16Z)22:4(7Z10Z13Z16Z))","C52H88NO8P","885.624755309","M-H2O-H",85952.9
"HMDB08652",0,0,"177_138_1","774.57721",192.6,"Multiple",774.58015,3.8,"PC(22:4(7Z10Z13Z16Z)P-16:0)","C46H84NO7P","793.598540559","M-H2O-H",106004.8
"HMDB08654",0,0,"48_1_3","840.58644",236.6,"Multiple",840.58886,2.88,"PC(22:4(7Z10Z13Z16Z)P-18:1(11Z))","C48H86NO7P","819.614190623","M+Na-2H",1600296.8
"HMDB08654",0,0,"0_3193_1","840.58586",268,"Multiple",840.58886,3.57,"PC(22:4(7Z10Z13Z16Z)P-18:1(11Z))","C48H86NO7P","819.614190623","M+Na-2H",509287.8
"HMDB08655",0,0,"48_1_3","840.58644",236.6,"Multiple",840.58886,2.88,"PC(22:4(7Z10Z13Z16Z)P-18:1(9Z))","C48H86NO7P","819.614190623","M+Na-2H",1600296.8
"HMDB08655",0,0,"0_3193_1","840.58586",268,"Multiple",840.58886,3.57,"PC(22:4(7Z10Z13Z16Z)P-18:1(9Z))","C48H86NO7P","819.614190623","M+Na-2H",509287.8
"HMDB08660",0,0,"0_3190_1","840.53500",227.5,"Multiple",840.53156,4.09,"PC(22:5(4Z7Z10Z13Z16Z)16:1(9Z))","C46H80NO8P","805.562155053","M+Cl",226452.1
"HMDB08661",0,0,"177_1_13","870.58122",188.1,"Multiple",870.57851,3.11,"PC(22:5(4Z7Z10Z13Z16Z)18:0)","C48H86NO8P","835.609105245","M+Cl",233592.2
"HMDB08673",0,0,"91_12_27","890.54286",198.8,"Multiple",890.54721,4.88,"PC(22:5(4Z7Z10Z13Z16Z)20:4(5Z8Z11Z14Z))","C50H82NO8P","855.577805117","M+Cl",381447
"HMDB08674",0,0,"91_12_27","890.54286",198.8,"Multiple",890.54721,4.88,"PC(22:5(4Z7Z10Z13Z16Z)20:4(8Z11Z14Z17Z))","C50H82NO8P","855.577805117","M+Cl",381447
"HMDB08675",0,0,"0_3180_1","834.54782",196.8,"Multiple",834.54377,4.85,"PC(22:5(4Z7Z10Z13Z16Z)20:5(5Z8Z11Z14Z17Z))","C50H80NO8P","853.562155053","M-H2O-H",281949.7
"HMDB08685",0,0,"0_3161_1","826.55141",261.7,"Multiple",826.55229,1.06,"PC(22:5(4Z7Z10Z13Z16Z)P-16:0)","C46H82NO7P","791.582890495","M+Cl",2609940.7
"HMDB08685",0,0,"48_4_3","826.55442",198.9,"Multiple",826.55229,2.58,"PC(22:5(4Z7Z10Z13Z16Z)P-16:0)","C46H82NO7P","791.582890495","M+Cl",13448268.1
"HMDB08686",0,0,"48_1_3","840.58644",236.6,"Multiple",840.58886,2.88,"PC(22:5(4Z7Z10Z13Z16Z)P-18:0)","C48H86NO7P","819.614190623","M+Na-2H",1600296.8
"HMDB08686",0,0,"0_3193_1","840.58586",268,"Multiple",840.58886,3.57,"PC(22:5(4Z7Z10Z13Z16Z)P-18:0)","C48H86NO7P","819.614190623","M+Na-2H",509287.8
"HMDB08693",0,0,"0_3190_1","840.53500",227.5,"Multiple",840.53156,4.09,"PC(22:5(7Z10Z13Z16Z19Z)16:1(9Z))","C46H80NO8P","805.562155053","M+Cl",226452.1
"HMDB08694",0,0,"177_1_13","870.58122",188.1,"Multiple",870.57851,3.11,"PC(22:5(7Z10Z13Z16Z19Z)18:0)","C48H86NO8P","835.609105245","M+Cl",233592.2
"HMDB08706",0,0,"91_12_27","890.54286",198.8,"Multiple",890.54721,4.88,"PC(22:5(7Z10Z13Z16Z19Z)20:4(5Z8Z11Z14Z))","C50H82NO8P","855.577805117","M+Cl",381447
"HMDB08707",0,0,"91_12_27","890.54286",198.8,"Multiple",890.54721,4.88,"PC(22:5(7Z10Z13Z16Z19Z)20:4(8Z11Z14Z17Z))","C50H82NO8P","855.577805117","M+Cl",381447
"HMDB08708",0,0,"0_3180_1","834.54782",196.8,"Multiple",834.54377,4.85,"PC(22:5(7Z10Z13Z16Z19Z)20:5(5Z8Z11Z14Z17Z))","C50H80NO8P","853.562155053","M-H2O-H",281949.7
"HMDB08718",0,0,"48_4_3","826.55442",198.9,"Multiple",826.55229,2.58,"PC(22:5(7Z10Z13Z16Z19Z)P-16:0)","C46H82NO7P","791.582890495","M+Cl",13448268.1
"HMDB08718",0,0,"0_3161_1","826.55141",261.7,"Multiple",826.55229,1.06,"PC(22:5(7Z10Z13Z16Z19Z)P-16:0)","C46H82NO7P","791.582890495","M+Cl",2609940.7
"HMDB08719",0,0,"48_1_3","840.58644",236.6,"Multiple",840.58886,2.88,"PC(22:5(7Z10Z13Z16Z19Z)P-18:0)","C48H86NO7P","819.614190623","M+Na-2H",1600296.8
"HMDB08719",0,0,"0_3193_1","840.58586",268,"Multiple",840.58886,3.57,"PC(22:5(7Z10Z13Z16Z19Z)P-18:0)","C48H86NO7P","819.614190623","M+Na-2H",509287.8
"HMDB08725",0,0,"0_3190_1","840.53500",227.5,"Multiple",840.53156,4.09,"PC(22:6(4Z7Z10Z13Z16Z19Z)16:0)","C46H80NO8P","805.562155053","M+Cl",226452.1
"HMDB08737",0,0,"91_12_27","890.54286",198.8,"Multiple",890.54721,4.88,"PC(22:6(4Z7Z10Z13Z16Z19Z)20:3(5Z8Z11Z))","C50H82NO8P","855.577805117","M+Cl",381447
"HMDB08738",0,0,"91_12_27","890.54286",198.8,"Multiple",890.54721,4.88,"PC(22:6(4Z7Z10Z13Z16Z19Z)20:3(8Z11Z14Z))","C50H82NO8P","855.577805117","M+Cl",381447
"HMDB08739",0,0,"0_3180_1","834.54782",196.8,"Multiple",834.54377,4.85,"PC(22:6(4Z7Z10Z13Z16Z19Z)20:4(5Z8Z11Z14Z))","C50H80NO8P","853.562155053","M-H2O-H",281949.7
"HMDB08740",0,0,"0_3180_1","834.54782",196.8,"Multiple",834.54377,4.85,"PC(22:6(4Z7Z10Z13Z16Z19Z)20:4(8Z11Z14Z17Z))","C50H80NO8P","853.562155053","M-H2O-H",281949.7
"HMDB08744",0,0,"0_3235_1","866.60371",210.5,"Multiple",866.60637,3.07,"PC(22:6(4Z7Z10Z13Z16Z19Z)22:2(13Z16Z))","C52H88NO8P","885.624755309","M-H2O-H",85952.9
"HMDB08753",0,0,"55_16_1","850.55100",250.1,"Multiple",850.55229,1.52,"PC(22:6(4Z7Z10Z13Z16Z19Z)P-18:1(11Z))","C48H82NO7P","815.582890495","M+Cl",851320.6
"HMDB08754",0,0,"55_16_1","850.55100",250.1,"Multiple",850.55229,1.52,"PC(22:6(4Z7Z10Z13Z16Z19Z)P-18:1(9Z))","C48H82NO7P","815.582890495","M+Cl",851320.6
"HMDB08785",0,0,"16_1_1","838.70700",28.8,"Multiple",838.70535,1.97,"PC(24:0P-18:0)","C50H100NO7P","857.723741071","M-H2O-H",878942.7
"HMDB08789",0,0,"16_2_1","848.59032",24.5,"Multiple",848.59416,4.53,"PC(24:1(15Z)14:1(9Z))","C46H88NO8P","813.624755309","M+Cl",3833673.8
"HMDB08836",0,0,"222_1_1","734.47231",23.6,"Multiple",734.47422,2.6,"PE(14:020:3(5Z8Z11Z))","C39H72NO8P","713.499554797","M+Na-2H",662696.5
"HMDB08837",0,0,"222_1_1","734.47231",23.6,"Multiple",734.47422,2.6,"PE(14:020:3(8Z11Z14Z))","C39H72NO8P","713.499554797","M+Na-2H",662696.5
